company_id,operating_activity,investing_activity,financing_activity,net_cash_flow,pros,cons,confidence,rating
LT,18266.0,2179.0,-25413.0,-4968.0,Positive Operating Cash Flow; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
LTIM,5670.0,-3918.0,-2269.0,-518.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
M&M,-5630.0,-5615.0,12281.0,1037.0,Positive Net Cash Flow; Investing for Future Growth,Negative Operating Cash Flow; High Financing Dependence,75,Average
MARUTI,16801.0,-11865.0,-4062.0,874.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
MOTHERSON,7569.0,-6644.0,1281.0,2205.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth,High Financing Dependence,85,Good
NAUKRI,702.0,-852.0,120.0,-29.0,Positive Operating Cash Flow; Investing for Future Growth,Negative Net Cash Flow; High Financing Dependence,75,Average
NESTLEIND,4175.0,-1237.0,-3135.0,-198.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
NHPC,6938.0,-5968.0,-581.0,388.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
NTPC,40785.0,-32141.0,-8246.0,398.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
ONGC,99263.0,-57203.0,-45650.0,-3591.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
PFC,-97820.0,-3409.0,101261.0,32.0,Positive Net Cash Flow; Investing for Future Growth,Negative Operating Cash Flow; High Financing Dependence,75,Average
PIDILITIND,2724.0,-1769.0,-742.0,212.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
PNB,-27939.0,-1506.0,3518.0,-25928.0,Investing for Future Growth,Negative Operating Cash Flow; Negative Net Cash Flow; High Financing Dependence,60,Needs Improvement
POWERGRID,37290.0,-13114.0,-25903.0,-1728.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
RECLTD,-57723.0,-1831.0,59588.0,34.0,Positive Net Cash Flow; Investing for Future Growth,Negative Operating Cash Flow; High Financing Dependence,75,Average
RELIANCE,158788.0,-113581.0,-16646.0,28561.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
SBILIFE,29122.0,-31221.0,-227.0,-2327.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
SBIN,21632.0,-3476.0,-9896.0,8260.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
SHREECEM,3347.0,-1418.0,-1710.0,220.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
SHRIRAMFIN,-31101.0,-258.0,27609.0,-3750.0,Investing for Future Growth,Negative Operating Cash Flow; Negative Net Cash Flow; High Financing Dependence,60,Needs Improvement
SIEMENS,1670.0,-502.0,-523.0,644.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
SUNPHARMA,12135.0,-763.0,-6710.0,4662.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
TATACONSUM,1937.0,-1911.0,256.0,281.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth,High Financing Dependence,85,Good
TATAMOTORS,67915.0,-22782.0,-37006.0,8128.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
TATAPOWER,12596.0,-9027.0,-4497.0,-928.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
TATASTEEL,20301.0,-14253.0,-11097.0,-5049.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
TECHM,6376.0,-1318.0,-4767.0,291.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
TITAN,1695.0,-189.0,-1329.0,177.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
TORNTPHARM,3266.0,-160.0,-2780.0,327.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
